,0,1,2,3
0,-26.3671875,-25.390625,-26.3671875,-29.78515625
1,-19.04296875,-26.3671875,-24.4140625,-20.99609375
2,-12.6953125,-24.90234375,-21.97265625,-20.99609375
3,-15.13671875,-22.94921875,-19.53125,-35.64453125
4,-21.484375,-24.4140625,-18.5546875,-41.50390625
5,-23.92578125,-25.390625,-20.99609375,-22.94921875
6,-25.87890625,-25.390625,-23.92578125,-14.6484375
7,-19.53125,-24.90234375,-23.4375,-23.92578125
8,-25.87890625,-26.3671875,-29.296875,-33.69140625
9,-43.9453125,-23.4375,-31.25,-34.1796875
10,-41.50390625,-20.01953125,-23.92578125,-20.99609375
11,-30.2734375,-20.99609375,-18.5546875,-5.859375
12,-23.4375,-20.99609375,-18.06640625,-14.16015625
13,-22.94921875,-21.97265625,-20.99609375,-32.71484375
14,-24.4140625,-23.4375,-22.4609375,-30.2734375
15,-28.80859375,-21.97265625,-25.87890625,-19.53125
16,-28.3203125,-21.97265625,-31.25,-11.71875
17,-23.4375,-21.97265625,-35.64453125,-15.625
18,-21.484375,-19.53125,-36.1328125,-31.73828125
19,-21.97265625,-26.85546875,-32.71484375,-37.109375
20,-25.87890625,-33.69140625,-31.25,-24.4140625
21,-27.83203125,-33.69140625,-35.15625,-14.6484375
22,-29.78515625,-29.78515625,-35.15625,-22.4609375
23,-37.109375,-34.1796875,-33.203125,-41.50390625
24,-40.52734375,-37.109375,-37.59765625,-45.8984375
25,-42.48046875,-32.2265625,-34.66796875,-33.203125
26,-36.62109375,-30.2734375,-25.390625,-19.53125
27,-26.3671875,-29.296875,-27.34375,-15.13671875
28,-28.80859375,-28.80859375,-29.296875,-30.76171875
29,-29.78515625,-29.78515625,-28.80859375,-37.109375
30,-24.90234375,-29.78515625,-31.25,-21.97265625
31,-19.04296875,-23.4375,-27.83203125,-6.34765625
32,-13.671875,-21.484375,-23.4375,-11.23046875
33,-15.13671875,-25.87890625,-24.4140625,-28.80859375
34,-24.90234375,-23.92578125,-22.94921875,-38.57421875
35,-35.15625,-27.34375,-22.4609375,-34.66796875
36,-32.71484375,-32.71484375,-23.92578125,-15.13671875
37,-23.92578125,-29.296875,-27.83203125,-4.8828125
38,-16.6015625,-24.4140625,-28.3203125,-20.5078125
39,-16.6015625,-23.92578125,-26.85546875,-30.76171875
40,-22.94921875,-27.34375,-29.296875,-22.94921875
41,-20.5078125,-29.296875,-27.34375,-15.13671875
42,-17.578125,-34.1796875,-30.76171875,-20.01953125
43,-25.390625,-37.59765625,-33.203125,-28.80859375
44,-32.2265625,-32.71484375,-31.73828125,-40.0390625
45,-33.203125,-30.76171875,-30.76171875,-34.1796875
46,-27.83203125,-27.34375,-29.296875,-13.671875
47,-19.53125,-18.5546875,-25.390625,-4.39453125
48,-25.390625,-23.92578125,-25.390625,-15.625
49,-29.296875,-29.296875,-26.3671875,-31.73828125
50,-28.3203125,-30.76171875,-24.90234375,-41.50390625
51,-24.4140625,-29.78515625,-23.92578125,-22.94921875
