,0
0,1595631241.652858
1,1595631243.90241
2,1595631246.15028
3,1595631248.6288261
4,1595631251.1195142
5,1595631253.649546
6,1595631256.639609
7,1595631259.1288052
8,1595631261.619644
9,1595631264.6177769
10,1595631267.618252
11,1595631270.139709
12,1595631272.628893
13,1595631274.879494
14,1595631277.368161
15,1595631279.889121
16,1595631283.129025
17,1595631285.604578
18,1595631288.1397262
19,1595631290.629112
20,1595631293.104432
21,1595631296.629793
22,1595631299.38897
23,1595631301.880048
24,1595631304.355415
25,1595631307.1283898
26,1595631309.889386
27,1595631312.8895009
28,1595631315.390497
29,1595631318.1402528
30,1595631320.6270761
31,1595631323.104699
32,1595631325.640534
33,1595631328.115702
34,1595631330.604825
35,1595631333.140779
36,1595631335.614618
37,1595631338.10556
38,1595631340.641247
39,1595631343.115548
40,1595631345.887614
41,1595631348.365587
42,1595631351.605783
43,1595631354.137474
44,1595631357.138449
45,1595631359.6165812
46,1595631363.365847
47,1595631366.3659918
48,1595631369.3667898
49,1595631372.620308
50,1595631376.65151
51,1595631379.116997
52,1595631381.6057339
53,1595631384.127121
54,1595631386.617069
55,1595631389.1030772
56,1595631391.626293
57,1595631394.117341
58,1595631396.591729
59,1595631399.126575
60,1595631401.617611
61,1595631403.866657
62,1595631406.341726
63,1595631408.876666
64,1595631411.367201
65,1595631413.8423731
66,1595631416.842669
67,1595631419.377651
68,1595631421.866648
69,1595631424.3432472
70,1595631426.877702
71,1595631429.3641422
72,1595631431.843132
73,1595631434.377034
74,1595631436.867361
75,1595631439.343643
76,1595631441.8779562
77,1595631444.367557
78,1595631446.854325
79,1595631449.3777862
80,1595631452.618467
81,1595631455.105765
82,1595631457.6286201
83,1595631460.1180952
84,1595631462.593301
85,1595631465.129042
86,1595631467.6189692
87,1595631470.0941088
88,1595631473.094086
89,1595631475.629536
90,1595631478.117721
91,1595631480.593971
92,1595631483.129368
93,1595631485.6165051
94,1595631488.0935318
95,1595631490.6295831
96,1595631493.104609
97,1595631495.594377
98,1595631498.594687
99,1595631501.595082
100,1595631504.59477
101,1595631507.128273
102,1595631509.6048808
103,1595631512.093992
104,1595631514.628219
