,0
0,1595847386.250336
1,1595847398.101723
2,1595847457.112736
3,1595847472.577761
4,1595847475.862286
5,1595847494.3272362
6,1595847509.848413
7,1595847512.8386402
8,1595847521.8541682
9,1595847531.842318
10,1595847539.613328
11,1595847547.3548968
12,1595847555.079564
13,1595847563.3300748
14,1595847571.115059
15,1595847579.3645408
16,1595847587.091062
17,1595847595.34005
18,1595847602.969576
19,1595847628.0999591
20,1595847637.340683
21,1595847681.066713
22,1595847689.090492
23,1595847696.830503
24,1595847704.437222
25,1595847712.102659
26,1595847719.842189
27,1595847737.091412
28,1595847745.34003
29,1595847840.823601
30,1595847843.8234649
31,1595847847.093987
32,1595847849.822641
33,1595847852.583821
