,0
0,1595881376.4192672
1,1595881384.159735
2,1595881489.455478
3,1595881491.487701
4,1595881493.520009
5,1595881495.6975849
6,1595881502.88361
7,1595881505.1366642
8,1595881512.64909
9,1595881517.647624
10,1595881522.739284
11,1595881524.922928
12,1595881526.9551418
13,1595881529.152757
14,1595881531.387118
15,1595881533.420913
16,1595881535.661095
17,1595881537.6933582
18,1595881539.950339
19,1595881541.9804428
20,1595881544.137671
21,1595881546.168899
22,1595881548.4279559
23,1595881550.961462
24,1595881552.9930902
25,1595881555.0227
26,1595881557.173749
27,1595881559.206152
28,1595881561.240135
29,1595881563.269695
30,1595881565.902941
31,1595881567.9332008
32,1595881774.6773381
33,1595881776.7064488
34,1595881778.9071949
35,1595881797.9586601
36,1595881799.990304
37,1595881802.021342
38,1595881804.05495
